"List of plants for wind, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=008&geo=g&sec=g&freq=A&datecode=2019&rtype=s&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=202003&start=200101"
"Wed Jun 10 2020 09:54:52 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"85 A",52162,"CA","Electric utility non-cogen","WT","WND"
"85 B",52163,"CA","Electric utility non-cogen","WT","WND"
"Adair Wind Farm",56810,"IA","Electric utility","WT","WND"
"Adams Wind",59637,"IA","Electric utility","WT","WND"
"Adams Wind Farm",56307,"MN","Electric utility non-cogen","WT","WND"
"Adams Wind Generations LLC",57375,"MN","Electric utility non-cogen","WT","WND"
"Aeolus Wind Facility",56225,"TX","Electric utility non-cogen","WT","WND"
"Agassiz Beach LLC",55576,"MN","Electric utility non-cogen","WT","WND"
"Agriwind",56408,"IL","Electric utility non-cogen","WT","WND"
"Ainsworth Wind",56162,"NE","Electric utility","WT","WND"
"Alexander Wind Farm LLC",58666,"KS","Electric utility non-cogen","WT","WND"
"Allegheny Ridge Wind Farm",56451,"PA","Electric utility non-cogen","WT","WND"
"Allendorf",56215,"IA","Electric utility non-cogen","WT","WND"
"Alta Wind Energy Center I",57282,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind Energy Center II",57291,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind Energy Center III",57292,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind Energy Center IV",57293,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind Energy Center V",57294,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind VIII",57835,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind X",58394,"CA","Electric utility non-cogen","WT","WND"
"Alta Wind XI",58395,"CA","Electric utility non-cogen","WT","WND"
"Altech III",50485,"CA","Electric utility non-cogen","WT","WND"
"Anacacho Wind Farm, LLC",58000,"TX","Electric utility non-cogen","WT","WND"
"Anchor Wind, LLC",58044,"IA","Electric utility non-cogen","WT","WND"
"Anderson Wind I",58939,"NM","Electric utility non-cogen","WT","WND"
"Anderson Wind II",58940,"NM","Electric utility non-cogen","WT","WND"
"Anheuser-Busch #2",59331,"CA","Industrial non-cogen","WT","WND"
"Antrim Wind",59953,"NH","Electric utility non-cogen","WT","WND"
"Apple Blossom Wind Farm",58690,"MI","Electric utility non-cogen","WT","WND"
"Aragonne Wind LLC",56336,"NM","Electric utility non-cogen","WT","WND"
"Arbor Hill Wind Farm",62132,"IA","Electric utility","WT","WND"
"Arbuckle Mountain Wind Farm LLC",59234,"OK","Electric utility non-cogen","WT","WND"
"Arkwright Summit Wind Farm LLC",61673,"NY","Electric utility non-cogen","WT","WND"
"Arlington Wind Power Project",56855,"OR","Electric utility non-cogen","WT","WND"
"Armadillo Flats Wind Project, LLC",61926,"OK","Electric utility non-cogen","WT","WND"
"Armenia Mountain Wind Farm",57044,"PA","Electric utility non-cogen","WT","WND"
"Ashtabula Wind Energy Center",57032,"ND","Electric utility","WT","WND"
"Ashtabula Wind II LLC",57121,"ND","Electric utility non-cogen","WT","WND"
"Ashtabula Wind III LLC",57387,"ND","Electric utility non-cogen","WT","WND"
"Astra Wind Farm",60856,"TX","Electric utility non-cogen","WT","WND"
"August Wind Farm",61644,"IA","Electric utility non-cogen","WT","WND"
"Aurora County Wind",61745,"SD","Electric utility non-cogen","WT","WND"
"Autumn Hills LLC",55566,"MN","Electric utility non-cogen","WT","WND"
"Auwahi Wind Energy Hybrid",57996,"HI","Electric utility non-cogen","WT","WND"
"B&K Energy Systems LLC",56210,"MN","Electric utility non-cogen","WT","WND"
"BC Energy LLC",56624,"MN","Electric utility non-cogen","WT","WND"
"Baffin Wind",57927,"TX","Electric utility non-cogen","WT","WND"
"Baldwin Wind LLC",57347,"ND","Electric utility non-cogen","WT","WND"
"Balko Wind LLC",58900,"OK","Electric utility non-cogen","WT","WND"
"Barton Chapel Wind Farm",57156,"TX","Electric utility non-cogen","WT","WND"
"Barton Windpower LLC",56765,"IA","Electric utility non-cogen","WT","WND"
