,0,1,2
0,85A (Zond Systems Inc - 6043),251 Wind,251 Wind
1,85B (Zond Systems Inc - 6044),Aero Turbine,Alite Wind Farm
2,Alta I Wind Energy Center,Alite Wind Farm,Alta I
3,Alta II Wind Energy Center,Alta I,Alta II
4,Alta III Wind Energy Center,Alta II (Vestas),Alta III
5,Alta IV Wind Energy Center,Alta III,Alta IV
6,Alta V Wind Energy Center,Alta IV,Alta Mesa
7,"Alta Wind VIII, LLC",Alta Mesa I Wind Farm,Alta Mesa 1 and 2
8,Alta X Wind Energy Center,Alta Mesa II Wind Farm,Alta V
9,Alta XI Wind Energy Center,Alta V,Alta VI (partial)
10,Altech III (NAWP Inc. - 6087),Alta VI (partial),Alta VIII (partial)
11,Anheuser-Busch,Alta VIII (partial),Alta X
12,Anheuser-Busch #2,Alta X,Alta XI
13,Buena Vista Energy LLC,Alta XI,Altech III
14,CDCR-LAC,Altech Energy Wind Farm,Anheuser-Busch Fairfield
15,Cabazon Wind,Altech III (a),Barstow Marine Logistics Base
16,"Cabazon Wind Partners, LLC",Altech III (b),Brookfield Tehachapi 1 (CCDLP)
17,Cameron Ridge,Anheuser-Busch Fairfield,Brookfield Tehachapi 2
18,Cemex BMQ,Brookfield Tehachapi 2,Brookfield Tehachapi 3
19,Cemex Madison,Brookfield Tehachapi 3,Buena Vista
20,Cemex River Plant,Buena Vista Wind Farm Repower,Cabazon
21,City of Soledad,CWES I Wind Farm,California State Prison Los Angeles County
22,"Coram California Development, LP",CWES II Wind Farm,Cameron Ridge
23,Coram Energy LLC,Cabazon Wind Farm II,Cemex Black Mountain Quarry
24,Coram Tehachapi LP,California State Prison Los Angeles County,Cemex Madison
25,Diablo Wind LLC,Cemex Black Mountain Quarry,Cemex River Plant
26,Difwind Farms LTD I,Cemex Madison,City of Soledad Water Reclamation Facility
27,Difwind Farms LTD II,Cemex River Plant,Coram Energy LLC
28,Difwind Farms LTD V,City of Soledad Water Reclamation Facility,Correctional Training Facility
29,Difwind Farms Ltd VI,Coram Energy LLC,Desert Hot Springs
30,Dillon Wind,Desert Hot Springs,Diablo Winds
31,Dutch Energy Wind Farm,Diablo Winds Wind Farm,Difwind 1
32,EDF Renewable Windfarm V Inc (ENXCO V),Difwind 6,Difwind 2
33,East Winds Project (NAWP Inc),Difwind I Wind Farm,Difwind 5
